tool;type;value;source
BBEdit;keyword;text editing;TERESAH
TextPad;keyword;text editing;TERESAH
TextPad;keyword;text editing;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);keyword;text encoding;TERESAH
EpiDoc XSLT;keyword;text encoding;TERESAH
oXygen XML editor;keyword;text encoding;TERESAH
Papyrological Navigator (PN);keyword;text encoding;TERESAH
SoSOL (Son of SOL);keyword;text encoding;TERESAH
The Transcoder;keyword;text encoding;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);keyword;Text encoding - descriptive;TERESAH
Concordance;keyword;Text encoding - descriptive;TERESAH
EpiDoc XSLT;keyword;Text encoding - descriptive;TERESAH
MMax2;keyword;Text encoding - descriptive;TERESAH
oXygen XML editor;keyword;Text encoding - descriptive;TERESAH
oXygen XML editor;keyword;Text encoding - descriptive;TERESAH
Papyrological Navigator (PN);keyword;Text encoding - descriptive;TERESAH
SoSOL (Son of SOL);keyword;Text encoding - descriptive;TERESAH
The Transcoder;keyword;Text encoding - descriptive;TERESAH
XMetal;keyword;Text encoding - descriptive;TERESAH
xMod;keyword;Text encoding - descriptive;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);keyword;Text encoding - presentational;TERESAH
EpiDoc XSLT;keyword;Text encoding - presentational;TERESAH
FocusOPEN Digital Asset Manager;keyword;Text encoding - presentational;TERESAH
oXygen XML editor;keyword;Text encoding - presentational;TERESAH
oXygen XML editor;keyword;Text encoding - presentational;TERESAH
Papyrological Navigator (PN);keyword;Text encoding - presentational;TERESAH
SoSOL (Son of SOL);keyword;Text encoding - presentational;TERESAH
The Transcoder;keyword;Text encoding - presentational;TERESAH
WordPress;keyword;Text encoding - presentational;TERESAH
XMetal;keyword;Text encoding - presentational;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);keyword;Text encoding - referential;TERESAH
EpiDoc XSLT;keyword;Text encoding - referential;TERESAH
FocusOPEN Digital Asset Manager;keyword;Text encoding - referential;TERESAH
GeoParser;keyword;Text encoding - referential;TERESAH
MMax2;keyword;Text encoding - referential;TERESAH
oXygen XML editor;keyword;Text encoding - referential;TERESAH
oXygen XML editor;keyword;Text encoding - referential;TERESAH
oXygen XML editor;keyword;Text encoding - referential;TERESAH
Papyrological Navigator (PN);keyword;Text encoding - referential;TERESAH
SoSOL (Son of SOL);keyword;Text encoding - referential;TERESAH
The Transcoder;keyword;Text encoding - referential;TERESAH
XMetal;keyword;Text encoding - referential;TERESAH
Text Fixer;description;Text Fixer allows users to copy and paste a Word document into a box and convert it to clean HTML.;BambooDirt
Alpheios;tool-type;Text mining;TERESAH
Annie ;tool-type;Text mining;TERESAH
AntConc;tool-type;Text mining;TERESAH
AntWordProfiler;tool-type;Text mining;TERESAH
Atlas.ti;tool-type;Text mining;TERESAH
Attensity;tool-type;Text mining;TERESAH
Basis Technology;tool-type;Text mining;TERESAH
BITEXT;tool-type;Text mining;TERESAH
CATMA: Computer Aided Textual Markup & Analysis;tool-type;Text mining;TERESAH
CATMA: Computer Aided Textual Markup & Analysis;keyword;text mining;TERESAH
Cheshire3;tool-type;Text mining;TERESAH
GeoParser;tool-type;Text mining;TERESAH
Google Topic Modelling Tool;tool-type;Text mining;TERESAH
Hadoop;tool-type;Text mining;TERESAH
HyperPo;tool-type;Text mining;TERESAH
HyperPo;keyword;text mining;TERESAH
IBM AeroText;tool-type;Text mining;TERESAH
IBM InfoSphere;tool-type;Text mining;TERESAH
ICTA (internet community text analyzer);tool-type;Text mining;TERESAH
JGAAP (java graphical authorship attribution program);tool-type;Text mining;TERESAH
Lexomics;tool-type;Text mining;TERESAH
Linguistic Inquiry and Word Count (LIWC);tool-type;Text mining;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;tool-type;Text mining;TERESAH
Mahout;tool-type;Text mining;TERESAH
MALLET;tool-type;Text mining;TERESAH
MALLET package for R;tool-type;Text mining;TERESAH
MONK Project;tool-type;Text mining;TERESAH
Morphadorner;tool-type;Text mining;TERESAH
Nomenklatura;tool-type;Text mining;TERESAH
NVivo;tool-type;Text mining;TERESAH
OpenCalais ;tool-type;Text mining;TERESAH
PAIR (Pairwise Alignment for Intertextual Relations);tool-type;Text mining;TERESAH
PDF Extract;tool-type;Text mining;TERESAH
PhiloLine;tool-type;Text mining;TERESAH
Philologic;tool-type;Text mining;TERESAH
Philomine;tool-type;Text mining;TERESAH
Readware Information Processor;tool-type;Text mining;TERESAH
Stanford Tools;tool-type;Text mining;TERESAH
Superfastmatch;tool-type;Text mining;TERESAH
TAPoR (Text Analysis Portal for Research);tool-type;Text mining;TERESAH
Text Analysis For Me Too (TAToo);tool-type;Text mining;TERESAH
Text Analysis Markup System (TAMS) Analyzer;tool-type;Text mining;TERESAH
Textal;tool-type;Text mining;TERESAH
Textalyser;tool-type;Text mining;TERESAH
textpresso;tool-type;Text mining;TERESAH
TextSTAT- Simple Text Analysis Tool;tool-type;Text mining;TERESAH
Tika;tool-type;Text mining;TERESAH
TokenX;tool-type;Text mining;TERESAH
VARD;tool-type;Text mining;TERESAH
Weka;tool-type;Text mining;TERESAH
Weka;tool-type;Text mining;TERESAH
Whatizit;tool-type;Text mining;TERESAH
Wmatrix;tool-type;Text mining;TERESAH
WordSmith;tool-type;Text mining;TERESAH
WordStat - Content Analysis & Text Mining Software;tool-type;Text mining;TERESAH
ABBYY Fine Reader;keyword;Text recognition;TERESAH
Concordance;keyword;Text recognition;TERESAH
FocusOPEN Digital Asset Manager;keyword;Text recognition;TERESAH
Gamera;keyword;Text recognition;TERESAH
GeoNames;keyword;Text recognition;TERESAH
GeoParser;keyword;Text recognition;TERESAH
MMax2;keyword;Text recognition;TERESAH
OmniPage;keyword;text recognition;TERESAH
OmniPage;keyword;Text recognition;TERESAH
MonoConc;keyword;text searching;TERESAH
A.nnotate.com;developer;Textensor Limited;TERESAH
TextExpander;description;"TextExpander allows you to customize abbreviations to insert ""snippets"" for your frequently used text strings or images. This helps you save time typing repeated words or sentences whether on email signatures or several paragraphs of a standard response. TextExpander can organize snippets into groups, sync snippets via Dropbox, or add common typos to your snippet library, which TextExpander will automatically correct.";BambooDirt
TexTexture;description;Textexture is a tool for visualizing any text as a network. The resulting graph can be used to get a quick visual summary of the text, read the most relevant excerpts (by clicking on the nodes), and find similar texts.;BambooDirt
TextGrid;description;TextGrid is a virtual research environment (VRE) for the humanities, providing integrated access to specialized tools, services and content, and serving as a long-term archive for research data in the humanities.;BambooDirt
TextGrid ;description;TextGrid is a virtual research environment consisting of a 'Repository' - an archive for research data, and a 'Laboratory' - the point of access to the VRE providing access to tools and services via user-friendly software. It allows Arts and Humanities researchers to work together and conduct projects in a secure environment sharing tools, data and methods.;HistoryOnline
MONK;keyword;text-mining;TERESAH
TextPad;description;TextPad is a text editor. It may be used as a basic text editor, web page editor, or as part of a programming IDE.;ArtsHumanities
TextPad;description;"TextPad is a text editor. It may be used as a basic text editor, web page editor, or as part of a programming IDE.
Features: 
Universal Naming Convention (UNC) style names support
Files up to the limits of 32-bit virtual memory can be edited
Spell checker with dictionaries in 10 languages
Multi file editing support
Commands to change case, and transpose words, characters and lines
Commands to indent blocks of text, split or join lines, and insert whole files
Change tracking";BambooDirt
SEASR;keyword;textual studies;TERESAH
TAPoR (Text Analysis Portal for Research);keyword;textual studies;TERESAH
GeoNames;keyword;Texture design and mapping;TERESAH
GeoParser;keyword;Texture design and mapping;TERESAH
MMax2;keyword;Texture design and mapping;TERESAH
RivEx;keyword;Texture design and mapping;TERESAH
Alpheios;developer;The Alpheios Project;TERESAH
Altmetric;description;The Altmetric Explorer is a powerful web app that allows you to track the conversations around scientific articles online. Altmetric collects and analyzes hundreds of thousands of postings about tens of thousands of articles and datasets each month. It makes this data available to end users through an intuitive user interface and to developers through an API.;BambooDirt
Thinkport Annotator;description;The Annotator allows you to analyze any block of text created by other authors. You may use virtual markers to highlight important passages, questions, thoughts, or add comments.;BambooDirt
Annotator\'s Workbench;description;The Annotator's Workbench is a software tool that enables users to create a collection from a set of existing video files, segment that collection, create annotations and assign vocabulary terms to the segments, and control access. This tool is part of the Ethnographic Video for Institution and Analysis (EVIA) Digital Archive Project at Indiana University and the University of Michigan.;BambooDirt
ARTFL Encyclopédie Project;description;The ARTFL EncyclopÃ©die Project has digitized the EncyclopÃ©die ou Dictionnaire raisonnÃ© des sciences, des arts et des mÃ©tiers, par une SociÃ©tÃ© de Gens de lettres (published under the direction of Diderot and d'Alembert between 1751 and 1772, containing 74,000 articles written by more than 130 contributors) and made it available online for scholars to use with the Philologic text retrieval engine and the Philomine text mining tools.;BambooDirt
Bamboo Content Interoperability Hub;description;"The Bamboo Content Interoperability Hub (CI gub) is an effort to largely automate the time-consuming process of downloading and compiling data from different repositories and archives and standardizing some of the format differences.
When scholars browse the repositories whose content they want (and have rights to) use, they can bookmark it at the proper level of granularity in Zotero, and import those Zotero bookmarks into a workspace integrated with the CI hub. The CI hub then retrieves the data, and normalizes it to a certain extent so that data from different sources can be used together. The CI hub also offers a ""preview"" tool to see what data has been ingested, before that data is handed off to the environment where the scholar will use it. 
The CI hub currently has adaptors to draw data from TCP-EEBO/ECO, Hathi Trust, Perseus, and AustLit.";BambooDirt
Bamboo Person Service;description;"The Bamboo Person Service can help scholars access all the resources (tools, collections, and shared data) they have permissions for due to their institutional affiliations, scholarly society membership, association with research groups, etc. By connecting accounts from these different groups (e.g. a Google account for a research group, a university ID, and a generic username for a scholarly society), scholars will be able to use resources provided by any of these groups, in any work space or tool environment within the Bamboo ecosystem. Where previously research groups would have to agree on a single environment to work collaboratively and share their data, the Bamboo Person Service can allow group leaders to indicate which scholars in the Bamboo Person Service should have access to a set of data, which will then become accessible for each of those people in the environment of their choosing.
The Bamboo Person Service also provides mechanisms for making contributions to projects easier to document (e.g. to present to tenure and review committees), by keeping track of which individuals are doing curation work on corpora, or contributing entries to Bamboo DiRT. As the Bamboo Person Service develops, it may be integrated with social and scholarly networking sites, to allow scholars to opt into sharing the tools they use, as part of their profile.
For tool developers and collection holders, the Bamboo Person Service can reduce the time and development effort that would go into writing custom authentication and authorization, and can facilitate quality control in crowdsourced projects by keeping track of the curator assessments made about the validity of individual users' additions.";BambooDirt
Bamboo Services Platform;description;The Bamboo Services platform, currently in development, provides a number of useful features for tool developers who want to make their tool available as a service, including authentication and authorization options and a result-caching service that allows users to start long-running automated analysis jobs and receive a notification when their data is ready.;BambooDirt
SPSS Statistics;description;The base SPSS Statistics package includes support for descriptive statistics, bivariate statistics, correlation, prediction for numerical outcomes, and prediction for identifying groups.;BambooDirt
Blog Analysis Toolkit (BAT);description;The Blog Analysis Toolkit (BAT) is a free, Web-based system for capturing, archiving and sharing blog posts. Blog posts are acquired via RSS feeds, and stored in a database where they can be accessed and shared by other researchers. Free registration is required.;BambooDirt
Advene;description;"The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation into
automatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.
The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams).";BambooDirt
DR2 Server;description;The DR2 server provides a mechanism for publishing relational databases in a way which is searchable by semantic web tools, such as RDF (Resource Description Framework) browsers and SPARQL queries. This is done by having the semantic web queries translated into SQL queries on the fly. It is recommended that the DR2 Server is deployed in a servlet, a Java program which runs within a server. The DR2 Server is part of the DR2 Platform:Â http://d2rq.org/.;HistoryOnline
EATS;description;The Entity Authority Tool Set (EATS) is a web application for recording, editing, using and displaying authority information about entities. It is designed to allow multiple authorities to each maintain their own independent data, while operating on a common base so that information about the same entity is all in one place.EATS also comes with client tools for automatically looking up entities in a text by name and adding appropriate TEI markup.;ArtsHumanities
The Field Linguist´s Toolbox;description;The Field Linguist's Toolbox is Windows software for maintaining lexical data, and for parsing and interlinearizing text.;BambooDirt
Gamera;developer;The Gamera project;TERESAH
Alpheios;description;"The goal of the Alpheios project is to help people learn how to learn languages as efficiently and enjoyably as possible, and in a way that best helps them understand their own literary heritage and culture, and the literary heritage and culture of other peoples throughout history. One of the principal tools, a Firefox plugin, allows a reader to browse a web page with Latin, ancient Greek, or Arabic, click on a word, and get a definition and morphological analysis of the word.
Initial focus is on classical literature in languages no longer spoken, such as Latin and ancient Greek, but will eventually include a wide variety of languages, ancient and modern. By sharing these tools and the source code in which they are written freely on the Web, the Alpheios Project also hopes to encourage their collaborative development.
The software as of July 2012 is in Beta release, with all the caveats normally associated with that level of development.
Other tools under development include a treebank editor, an alignment editor, text analysis software, and learning management software.";BambooDirt
HathiTrust Digital Library;description;The HathiTrust Digital Library offers public domain texts scanned from university libraries for the Google Books Project, in a variety of formats for search and browsing.;BambooDirt
HTML5 boilerplate;description;The HTML5 boilerplate is a base HTML/CSS/JS template for web design that offers cross-browser compatibility, cachine and compression rules, mobile browser optimizations, graceful degradation, and IE-specific classes. Extensive documentation is available.;BambooDirt
Bamboo HUBzero Work Space;description;The HubZero Bamboo Work Space is an instance of HubZero enhanced with the combined functionality of the Bamboo Services Platform, Content Interoperability Hub, and Person Service built-in.;BambooDirt
HyperImage;description;The HyperImage platform supports the linking of (audio)-visual objects, texts and mixed-media documents. References between images in total, regions of images, annotations regarding the images, and other media, are achieved by means of hyperlinks.;BambooDirt
Qualrus;developer;The Idea Works Inc.;TERESAH
UVic Image Markup Tool;description;"The Image Markup Tool allows you to ""describe and annotate images, and store the resulting data in TEI XML files,"" all within a ""simple enough interface that it can be used by people with little or no experience in editing XML code."" Designed to be Windows-only, but can be successfully run on Linux using Wine.
Features:
Supports ""a wide variety of image formats""
Saves markup information in conformant TEI P5 XML files
Create simple web output to display the annotated image in an interactive format
Simple, graphical interface lets you see the image and the fields for entering your markup notes
Annotations are visually represented on the image
View and hide different pieces of annotation as you work to see overlap or remove visual clutter
Allows knowledgeable TEI users to add additional TEI markup tags to their annotations
Allows access and manipulation of standard schema used, as well as creation of additional schema
Can handle multiple images in one file
Advantages:
Does for images all the wonderful things that XML markup does for text
Program checks XML for well-formedness and provides some basic assistance in automatically correcting ill-formed XML
Menu command for creating zip packages (containing image file, XML markup file, and associated schema files) provides an easy solution for moving projects
This tool also allows you to easily create thumbnails of a whole image or one annotated part of an image--one less task to perform in a separate image editing tool
Disadvantages:
Editing done to Image Markup's XML files in an external editor may not be preserved: Image Markup Tool ""will not guarantee to preserve XML code which is added to one of its files in an external editor (although it will try)"" 
Web output provides only a starting place for web display, and is not a one-stop shop for a finished web product
Tips:
Although the program documentation states that little or no user experience with XML markup is needed, it would be advisable to have, at the minimum, some familiarity with the basic concepts of markup (an introductory understanding of HTML, for instance).
If you are interested in manipulating schemas, they are presented as ODD files (rather than schemas) which are then used to generate the schemas";BambooDirt
Internet Archive;description;The Internet Archive stores a wide variety of webpages, audio, images, video, and text.;BambooDirt
LC Newspaper Viewer;description;The LC Newspaper Viewer is an open-source web application that understands how to model newspaper data created according to a set of technical guidelines, with the goal of publishing an online archive like Chronicling America.;BambooDirt
Readware Information Processor;description;The main programs that comprise the Information processor are called the analyst server and query or knowledge processor. The analyst program can be called from a command line,  from an html form, or through a TCP/IP socket protocol.  The query processor can be accessed with any browser using HTML commands. It analyzes text and allows the user to search it.;BambooDirt
MIT App Inventor;description;"The MIT App Inventory (formerly Google App Inventor) allows users to develop applications for Android phones using a web browser and either a connected phone or emulator. Includes forum and tutorials; requires a Google account.";BambooDirt
MONK workbench;description;"The MONK workbench provides 525 works of American literature from the 18th and 19th centuries, and 37 plays and 5 works of poetry by William Shakespeare, along with tools to enable literary research through the discovery, exploration, and visualization of patterns. 
Users affiliated with CIC (Big Ten) schools can access a larger data set that includes about a thousand works of British literature from the 16th through the 19th century, provided by The Text Creation Partnership (EEBO and ECCO) and ProQuest (Chadwyck-Healey Nineteenth-Century Fiction).";BambooDirt
Natural Language Toolkit;description;The National Language Toolkit (NLTK) is a set of open source Python modules, linguistic data and documentation for research and development in natural language processing and text analytics.;BambooDirt
The Observer XT;description;The Observer XT is the professional and user-friendly event logging software for the collection, analysis, and presentation of observational data.;BambooDirt
Purdue OWL;description;The Online Writing Lab (OWL) at Purdue University houses writing resources and instructional material. As a member of the Writing Lab community, you can find information to assist with various writing projects. Teachers and trainers can also use this material for in-class and out-of-class instruction. Links should be attributed to the Purdue University Online Writing Lab (OWL). No commercial use of the Purdue OWL is permitted.;BambooDirt
Open Harvester Systems;description;The Open Harvester Systems is a free metadata indexing system that allowers users to create a searchable index of the metadata from Open Archives Initiative (OAI)-compliant archives, such as sites using Open Journal Systems (OJS) or Open Conference Systems (OCS). It can harvest OAI metadata in a variety of schemas (including unqualified DC, the PKP (Open Journal Systems/Open Conference Systems) Dublin Core extension, MODS, and MARCXML).;BambooDirt
OpenZoom;description;The OpenZoom SDK is a free and open source toolkit for Flash for developing Zoomable User Interfaces (ZUIs) for high-resolution images.;BambooDirt
PDF to Word Converter;description;The PDF to Word Converter is Windows software that can convert a PDF (with no password protection) to a Word .doc file.;BambooDirt
Pdftk (PDF Toolkit);description;The PDF Toolkit allows users to merge, split, rotate, decrypt/encrypt, compress/uncompress, and repair PDFs.;BambooDirt
Perl;developer;The Perl Foundation;TERESAH
Plone;developer;The Plone Foundation;TERESAH
Anastasia;description;"The program is designed to process large, scholarly XML files and publish them in any desired format. This involves some parsing and analysing of the structure of the XML documents; Anastasia is not bound to the hierarchical family-tree model of XML and so can begin processing at any required point. Tools are included for publishing to the web. A good knowledge of the Tcl scripting language is assumed, as well as some prior knowledge of XML.";HistoryOnline
Atlas.ti;description;The purpose of ATLAS.ti is to help researchers uncover and systematically analyze complex phenomena hidden in text and multimedia data. The program provides tools that let the user locate, code, and annotate findings in primary data material, to weigh and evaluate their importance, and to visualize complex relations between them.;BambooDirt
Sample size calculator;description;The Sample Size Calculator is simple online tool for calculating sample size according to different variables.;BambooDirt
ScholarPress Researcher;description;The ScholarPress Researcher WordPress plugin displays a user's Zotero library within WordPress.;BambooDirt
Sci2 Tool;description;"The Science of Science (Sci2) Tool is a modular toolset supporting temporal, geospatial, topical, and network analysis and visualization of datasets at the micro (individual), meso (local), and macro (global) levels. Users of the tool can:

* Access science datasets online or load their own.
* Perform different types of analysis with the most effective algorithms available.
* Use different visualizations to interactively explore and understand specific datasets.
* Share datasets and algorithms across scientific boundaries.";BambooDirt
Stanford POS Tagger;description;The Stanford Part-of-Speech Tagger includes English, Arabic, Chinese, and German tagger modules.;BambooDirt
TAPoR (Text Analysis Portal for Research);description;The TAPoR Portal is an online environment where users can keep track of texts they want to study (uploaded or available online), learn about and try different tools, and run tools on texts.;BambooDirt
Lexomics;description;"The term ""lexomics"" was originally coined to describe the computer-assisted detection of ""words"" (short sequences of bases) in genomes. When applied to literature as we do here, lexomics is the analysis of the frequency, distribution, and arrangement of words in large-scale patterns. The current suite of lexomics tools are:
scrubber -- strips tags, removes stop words, applies lemma lists, and prepares texts for diviText
diviText -- cuts texts into chunks in one of three ways, count words, exports the results
treeView -- builds dendrograms and saves the output as .pdf or xml in phyloXML format
The Lexomics web site site contains extensive documentation and video tutorials.
Note: Most of the functionality of the three Lexomics tools has now been combined into an integrated workflow called Lexos.";BambooDirt
Tesserae;description;The Tesserae project aims to provide a flexible and robust web interface for exploring intertextual parallels.;BambooDirt
TILE (Text-Image Linking Environment);description;The Text-Image Linking Environment (TILE) is a web-based tool for creating and editing image-based electronic editions and digital archives of humanities texts. It allows the user to import and export transcript lines and images of text, as well as mark up the image, and includes a semi-automated line recognizer.;BambooDirt
UAM CorpusTool;description;The UAM CorpusTool may be used for annotating a corpus as part of a linguistic study. The tool also allows to search for annotation forms and compare them to one another. It provides a graphical schema editor and saves annotations in a stand-off XML format.;BambooDirt
Virtual Lightbox;description;The Virtual Lightbox enables online image comparison, with features like an image-centric whiteboard.;BambooDirt
Personal Brain;developer;TheBrain Technologies LP;TERESAH
Protégé;keyword;thesauri;TERESAH
Thinkport Annotator;developer;Thinkport;TERESAH
Sente;developer;Third Street Software;TERESAH
Frogr;description;This Flickr uploader for Linux includes tag autocompletion, along with all the features of the official Mac/Windows uploader (assigning privacy levels, adding title/tags/description, putting photos into sets, multiple Flickr accounts, etc.) A beta version is available for OSX.;BambooDirt
METS Page Turner;description;This is a frames-based page turner servlet with search functionality using XPATH.;BambooDirt
brat rapid annotation tool;description;"This online tool can be used for a wide variety of annotation tasks, including visualization and collaboration. 
brat is designed in particular for structured annotation, where the notes are not freeform text but have a fixed form that can be automatically processed and ""interpreted"" by a computer. brat also supports the annotation of n-ary associations that can link together any number of other annotations participating in specific roles. brat also implements a number of features relying on natural language processing techniques to support human annotation efforts.
Other applications include entity mention detection, event extraction, coreference resolution, chunking, dependency syntax, meta-knowledge, and corpora annotation.";BambooDirt
MALLET package for R;description;This package allows users to train topic models in MALLET and load results directly into R.;BambooDirt
Google Topic Modelling Tool;description;This tool offers a very simply interface for performing topic modelling. Once downloaded, the tool can take any document as an input and produce a list of topics in various formats. Although the options are somewhat limited this is an easy way for a first pass to be made on topic modelling data. For people who wish to experiment with the topic, some sample documents are bundled in with the download. The tool will run on any system that has Java VM installed.;HistoryOnline
HUBzero topic modeling tool;description;This tool, which runs within a HUBzero instance, this tool parses a data set and creates topic groups, then analyzes the data to see which topic groups the individual pieces of data most likely corresponds to. The results are then returned to the result window, along with the list of stories and the topics generated. The results, data and topics can all be downloaded.;BambooDirt
MDB Tool;description;This very useful tool for OSX users allows you to open, browse and convert Microsoft Access databases into SQL and CSV formats.;BambooDirt
oXygen XML editor;description;This XML editor offers tools for XML document authoring and validation, creation and debugging of schemas, and XSL technologies such as XSLT, as well as JSON, among other featues. oXygen comes with build-in support for common markup standards such as TEI and DocBOok. Single academic licences start at $64 at the time of writing. A 30-day free trial is available.;HistoryOnline
Tianamo;description;Tianamo (beta) is an information visualization search engine that displays the search results in a 3D landcape where subtopics are presented topographically as peaks.;BambooDirt
TiddlyWiki;description;TiddlyWiki is a reusable personal web notebook. It allows anyone to create personal hypertext documents that can be published on the Web, and also search and tag content.;BambooDirt
3DVIA Virtools;standard;TIFF;TERESAH
ABBYY Fine Reader;keyword;TIFF;TERESAH
Adobe Illustrator;standard;TIFF;TERESAH
Adobe Photoshop;standard;TIFF;TERESAH
ArcExplorer;standard;TIFF;TERESAH
ArcView;standard;TIFF;TERESAH
ERDAS Imagine;standard;TIFF;TERESAH
GDAL;standard;TIFF;TERESAH
GDAL;standard;TIFF;TERESAH
GIMP: GNU Image Manipulation Program;standard;TIFF;TERESAH
Zoomify;standard;TIFF;TERESAH
Chicken of the VNC;keyword;Tight transfer encoding;TERESAH
Tika;description;"Tika is a Java-based text extraction tool which is primarily aimed at handling data in unknown formats; it extracts metadata and structured content from unknown texts, and can also detect the language of the text. A feature of the tool is that it is designed to work with third-party parsers, so that developers can integrate Tika with parsers they are already familiar with.";HistoryOnline
Map Warper;developer;Tim Waters;TERESAH
Timeflow;description;Time Flow is an open-source timeline built to help journalists analyze temporal data. The application offers several view modes--timelime, calendar, list, table--to help explore thousands of data points.;BambooDirt
TimeGlider;description;"TimeGlider is a data-driven interactive timeline application built using JavaScript. You can ""grab"" the timeline and drag it left and right, and zoom in and out to view centuries at a time or just hours. TimeGlider allows you to create event-spans so that you can see durations and how they overlap. Being web-based, TimeGlider lets you collaborate and share easily.";BambooDirt
Timeline JS;description;TImeline is an open source framework for visualizing data files and data feeds in a variety of formats via an aesthetically pleasing wed display. Timelines are interactive and media rich;BambooDirt
Timeline JS;description;TimelineJS can pull in media from different sources. It has built in support for: Twitter, Flickr, Google Maps, YouTube, Vimeo, Dailymotion, Wikipedia, SoundCloud and more media types in the future. Creating one is as easy as filling in a Google spreadsheet or as detailed as JSON.;BambooDirt
Timeline JS;keyword;timelines;TERESAH
Timeline JS;keyword;timelines;TERESAH
timemap;description;timemap is a javascript library that enables you to produce web-based maps (e.g. Google, OpenLayers, Bing) along with a SIMILE timeline.  You can load datasets (in JSON, KML, or GeoRSS) onto both the map and the timeline and display on the map only the data shown on the timeline.Airport Paraking Sushi Recipes;BambooDirt
TimeRime;description;TimeRime is a web application which allows people to create, view and compare interactive timelines.;BambooDirt
Wavesurfer;keyword;TIMIT;TERESAH
Tinderbox;description;Tinderbox is a personal content assistant that helps you visualize, analyze, and share your notes. Tinderbox provides maps, timelines, charts, and outlines to help you view and organize your information.;BambooDirt
TipCam;description;TipCam is a screen recording software for Windows, which allows you to record images and audio on your screen, and upload to YouTube.;BambooDirt
TurnTool;keyword;TNT format;TERESAH
TurnTool;keyword;TNT format;TERESAH
Tofu;description;Tofu reformats text into columns for easier reading.;BambooDirt
Morphadorner;keyword;tokenizing;TERESAH
TokenX;description;TokenX is a web-based environment for visualizing, analyzing and playing with texts. Options include word clouds, highlighting words, keywords in context, replacing words with bocks, highlighting punctuation and non-words, counting words in context and decontextualized, and substituting words. A number of sample files are provided, or users can point TokenX to any XML file online.;BambooDirt
brat rapid annotation tool;developer;Tomoko Ohta;TERESAH
Balsamiq Mockups;tool-type;Tool development;TERESAH
Bamboo Person Service;tool-type;Tool development;TERESAH
Bamboo Services Platform;tool-type;Tool development;TERESAH
Github;tool-type;Tool development;TERESAH
JIRA;tool-type;Tool development;TERESAH
OpenSocial;tool-type;Tool development;TERESAH
POP - Prototyping on Paper;tool-type;Tool development;TERESAH
SEASR;tool-type;Tool development;TERESAH
Trello;tool-type;Tool development;TERESAH
SoSOL (Son of SOL);description;Tool under construction at the University of Kentucky as part of the IDP second phase. It is an editing tool which aims to make the task of creating EpiDoc-conformant XML editions of epigraphic and papyrological texts manageable to users without needing to edit the raw XML. As such it will include conversions tools such as CHET-C, as well as a tags-free editing environment and template handler.;ArtsHumanities
HUBzero topic modeling tool;keyword;topic modeling;TERESAH
Topic Modeling Tool;keyword;topic modeling;TERESAH
Topo.ly;description;Topo.ly is a free and paid online service for capturing and geocoding spatial data from spreadsheets and creating point, territory and heat maps. It is free for limited use (quite generous) and paid when you need to map significant (we are talking substantial) datasets. It's intuitive, easy to use and produces high quality interactive maps.;BambooDirt
TouchGraph SEO Browser;description;TouchGraph is a Java application that responds to search queries with a web of linked websites.;BambooDirt
TouchGraph SEO Browser;developer;TouchGraph LLC;TERESAH
MantisBT;keyword;Tracking;TERESAH
MantisBT;keyword;Tracking;TERESAH
Trailfire;description;"Trailfire allows you to create ""trails"" -- or guides -- that link together web sites, add notes, and find content via other people's trails.";BambooDirt
SQL Server;keyword;Transact-SQL;TERESAH
Transana;description;Transana is a computer program that allows researchers to transcribe and analyze large collections of video and audio data.;BambooDirt
Transcriber;description;Transana is open source software for the transcription and qualitative analysis of audio and video.;BambooDirt
Transcript;description;Transcript is a desktop-based manuscript transcription tool that supports word-processor style formatting.;BambooDirt
ABBYY Fine Reader;tool-type;Transcription;TERESAH
FOLKER;tool-type;Transcription;TERESAH
FromThePage;tool-type;Transcription;TERESAH
InqScribe;tool-type;Transcription;TERESAH
MacSpeech Scribe;tool-type;Transcription;TERESAH
MacSpeech Scribe;keyword;transcription;TERESAH
Proofread Page;tool-type;Transcription;TERESAH
PyBossa;tool-type;Transcription;TERESAH
Scripto;tool-type;Transcription;TERESAH
SoundScriber;keyword;transcription;TERESAH
SoundScriber;keyword;transcription;TERESAH
Tesseract;tool-type;Transcription;TERESAH
T-PEN (Transcription for Paleographical and Editorial Notation);tool-type;Transcription;TERESAH
Transana;tool-type;Transcription;TERESAH
Transcriber;tool-type;Transcription;TERESAH
Transcript;tool-type;Transcription;TERESAH
